date,regime,prob_regime_0,prob_regime_1,prob_regime_2
2015-01-01,2,0.0,5.681592040333293e-45,1.0
2015-02-01,2,7.019544112725306e-72,2.056068280182463e-11,0.9999999999794227
2015-03-01,2,1.84455549704112e-70,1.9576930526260554e-12,0.9999999999980673
2015-04-01,2,4.003790551452514e-71,4.911432186180927e-11,0.9999999999508873
2015-05-01,2,1.5071823833542412e-71,9.130605217199231e-15,1.0
2015-06-01,2,3.066853060523663e-67,7.580458164721698e-18,1.0
2015-07-01,2,1.4639402009212902e-66,3.248384431104319e-17,1.0
2015-08-01,2,1.3264356835632054e-66,1.9143069873924673e-14,1.0
2015-09-01,2,1.5368421549010156e-66,6.827874627731783e-14,0.9999999999999432
2015-10-01,2,1.5111627790167653e-66,3.880496513466735e-13,0.9999999999996021
2015-11-01,2,4.075792071216396e-66,3.6019031151443844e-16,1.0
2015-12-01,2,3.085142216570468e-64,6.12857551152552e-16,1.0
2016-01-01,2,1.8315840761074284e-63,2.7646510333505383e-13,0.9999999999997158
2016-02-01,2,1.1056125291281577e-65,2.7205769051784807e-09,0.9999999972794171
2016-03-01,2,2.4424860971815487e-65,3.8117515676673265e-11,0.9999999999618581
2016-04-01,2,1.1383616735122049e-66,3.8655263688522436e-10,0.9999999996134648
2016-05-01,2,2.048341774586404e-64,2.5643767962193855e-10,0.9999999997435793
2016-06-01,2,3.0561694192038796e-66,3.4816871639460736e-08,0.9999999651831223
2016-07-01,2,1.1584675907799452e-66,4.377024968643438e-07,0.9999995622975283
2016-08-01,2,7.445653854549305e-67,1.1975342091687207e-07,0.9999998802465556
2016-09-01,2,6.634403717773767e-67,2.8361121232657306e-08,0.9999999716388861
2016-10-01,2,3.5682771275866324e-65,8.637517993020801e-10,0.9999999991362643
2016-11-01,2,4.115959841724772e-61,3.2907332818548853e-15,1.0
2016-12-01,2,7.191792147011707e-58,3.229607060801099e-22,1.0
2017-01-01,2,2.858761415562177e-57,6.989435138057323e-22,1.0
2017-02-01,2,1.1025197816235182e-56,8.119910788654048e-22,1.0
2017-03-01,2,4.0445922389554824e-54,2.9563442634202388e-24,1.0
2017-04-01,2,4.63824386573915e-54,3.7416159227306707e-22,1.0
2017-05-01,2,3.018938974743915e-54,2.8976393460260363e-22,1.0
2017-06-01,2,1.889041839991816e-53,4.0625201360811546e-22,1.0
2017-07-01,2,1.047750381972336e-51,5.489548190803284e-26,1.0
2017-08-01,2,1.9306095905451786e-52,2.912756696336938e-24,1.0
2017-09-01,2,1.967293851625466e-52,6.247949018874175e-24,1.0
2017-10-01,2,3.642130596167532e-51,1.0334052241872839e-26,1.0
2017-11-01,2,4.5364573852340013e-51,1.0614895663137703e-26,1.0
2017-12-01,2,2.349901056088735e-49,5.3657335299603444e-30,1.0
2018-01-01,2,4.608633421235637e-47,1.300608012173797e-35,1.0
2018-02-01,2,8.926561522850384e-46,2.5924983844286803e-41,1.0
2018-03-01,2,1.5381529452321148e-44,4.536038561504571e-43,1.0
2018-04-01,2,6.521316064877087e-43,6.71228880412673e-48,1.0
2018-05-01,2,4.199402097844322e-42,5.72482530289822e-51,1.0
2018-06-01,2,8.98078767227608e-42,2.6165503180125932e-52,1.0
2018-07-01,2,5.024955403474966e-41,3.4417172521838946e-54,1.0
2018-08-01,2,4.3832818849501397e-41,3.4104189742652275e-54,1.0
2018-09-01,2,3.399983812172902e-40,6.0905004141978074e-58,1.0
2018-10-01,2,9.650502170163214e-38,1.2710080834145767e-68,1.0
2018-11-01,2,8.236312957494563e-38,3.8305789304239495e-68,1.0
2018-12-01,2,1.108872200852223e-39,1.5556214869380174e-62,1.0
2019-01-01,2,1.0127242363503539e-38,6.386368006779796e-65,1.0
2019-02-01,2,1.4886696940587713e-38,1.607952930373887e-64,1.0
2019-03-01,2,3.939417747885327e-39,1.3974609019758288e-62,1.0
2019-04-01,2,2.1666910853798836e-39,4.069388504779181e-62,1.0
2019-05-01,2,3.1492776139811486e-40,2.114160818301088e-58,1.0
2019-06-01,2,2.1551443546093967e-42,1.5967516715860687e-52,1.0
2019-07-01,2,2.047653908448149e-42,3.564577842286686e-53,1.0
2019-08-01,2,2.5166125833001755e-47,1.5068650661849067e-38,1.0
2019-09-01,2,1.809045691301722e-47,8.421040262368434e-37,1.0
2019-10-01,2,7.609589757046541e-49,3.6143294677988724e-31,1.0
2019-11-01,2,1.7089768664678944e-50,1.0044212819400249e-25,1.0
2019-12-01,2,5.042703547826864e-50,2.3948034491004018e-26,1.0
2020-01-01,2,9.878920885187989e-51,4.244333843264651e-25,1.0
2020-02-01,2,1.0168069398551396e-64,1.0855831544706287e-19,1.0
2020-03-01,1,7.32954084460995e-155,0.9999999999992042,7.893285024238699e-13
2020-04-01,1,0.0,1.0,6.973115073021152e-56
2020-05-01,1,0.0,1.0,6.653416553420542e-40
2020-06-01,1,2.791611558e-314,1.0,6.976315660774983e-26
2020-07-01,1,2.2123821126330904e-253,1.0,7.377544292294315e-21
2020-08-01,1,3.2394073330151375e-177,0.9999999999990905,9.366076134334303e-13
2020-09-01,1,4.739426766993238e-151,0.9999999999880629,1.1926281895711334e-11
2020-10-01,1,2.98217398223358e-126,0.9999999986297325,1.3702394310256286e-09
2020-11-01,1,2.2385497483115182e-116,0.9999999593133005,4.0686678733496296e-08
2020-12-01,1,5.597096646966659e-111,0.9999998460357465,1.5396427082055678e-07
2021-01-01,1,1.3644773645218362e-100,0.9999695759913156,3.042400870555359e-05
2021-02-01,1,8.421822676935465e-92,0.9644512539422372,0.03554874605776301
2021-03-01,2,2.3651617416970407e-84,0.012321528817736732,0.9876784711822465
2021-04-01,2,2.6940228105811857e-82,3.149592964102862e-05,0.9999685040703441
2021-05-01,2,1.2024358864803013e-78,2.5884332347048662e-06,0.9999974115667631
2021-06-01,2,2.400609897155425e-80,2.6043687516939353e-05,0.9999739563125025
2021-07-01,2,6.275858829708293e-76,0.0003296692208538881,0.9996703307791299
2021-08-01,2,1.3716024003110096e-73,0.0003419225162330167,0.999658077483762
2021-09-01,2,3.002217077578074e-70,6.64616510323061e-05,0.9999335383489775
2021-10-01,2,2.1141095487050192e-67,4.1758371452413455e-07,0.9999995824162814
2021-11-01,2,3.4726410212478475e-66,6.247513974016304e-07,0.9999993752486167
2021-12-01,2,8.007459799364994e-67,8.766133805496804e-06,0.9999912338661796
2022-01-01,2,4.790695195059373e-65,1.4242643744636632e-08,0.9999999857573698
2022-02-01,2,2.9466570909552696e-64,2.501062231396229e-10,0.999999999749889
2022-03-01,2,6.77043364817144e-62,4.437038849364844e-13,0.9999999999995453
2022-04-01,2,3.033283336435773e-56,1.097293253314296e-25,1.0
2022-05-01,2,1.1644290158929983e-52,3.62663290297873e-31,1.0
2022-06-01,2,3.449837358663249e-47,2.408097085021995e-43,1.0
2022-07-01,2,6.788408162395363e-31,2.1678894517543127e-47,1.0
2022-08-01,2,6.58094168353012e-17,1.7443577808906394e-66,1.0
2022-09-01,2,2.6623468607230154e-08,1.5521589629082543e-90,0.9999999733765325
2022-10-01,2,0.012697539878483655,1.6018120641225623e-129,0.9873024601215166
2022-11-01,0,0.999311103075624,2.0314941990473607e-166,0.000688896924392246
2022-12-01,0,0.9999998706092098,1.3597807741432198e-180,1.2939076965238875e-07
2023-01-01,0,0.9999999999951683,2.776520359397798e-198,4.8196410238468315e-12
2023-02-01,0,1.0,1.0497494794021056e-226,4.063696741766968e-18
2023-03-01,0,1.0,1.1727013865183146e-234,7.741005239613914e-24
2023-04-01,0,1.0,2.9735444246416045e-248,1.6859550991597745e-29
2023-05-01,0,1.0,6.074626208450763e-276,3.4420726608676865e-36
2023-06-01,0,1.0,4.49120179635897e-291,3.2535577772038613e-37
2023-07-01,0,1.0,6.752999605335903e-302,1.1708844641609924e-37
2023-08-01,0,1.0,0.0,5.16190876382434e-39
2023-09-01,0,1.0,0.0,1.8614660090247612e-39
2023-10-01,0,1.0,0.0,5.928102846362133e-40
2023-11-01,0,1.0,0.0,1.275720910265688e-39
2023-12-01,0,1.0,0.0,1.998151214870212e-38
2024-01-01,0,1.0,0.0,1.298882556269676e-38
2024-02-01,0,1.0,0.0,6.208591075129041e-39
2024-03-01,0,1.0,0.0,6.405827813374984e-39
2024-04-01,0,1.0,0.0,1.132845663976567e-39
2024-05-01,0,1.0,0.0,2.058286623433364e-39
2024-06-01,0,1.0,0.0,1.0488712941033823e-38
2024-07-01,0,1.0,0.0,1.8785597171713857e-38
2024-08-01,0,1.0,9.3397161e-316,2.11878062279541e-37
2024-09-01,0,1.0,3.408319108441644e-294,6.81744402348166e-37
2024-10-01,0,1.0,7.439864267707575e-285,3.679034455193764e-37
2024-11-01,0,1.0,6.287018137777937e-280,3.849446666242221e-37
2024-12-01,0,1.0,6.914336015266024e-262,4.644133459622039e-35
